127.0.0.1 - - [29/May/2024:09:01:51 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:52 +0900] "GET /jwbook/miniProject/startPage.jsp HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:52 +0900] "GET /jwbook/miniProject/styles.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:52 +0900] "GET /jwbook/miniProject/background.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:52 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "POST /jwbook/userControl?action=login HTTP/1.1" 200 4709
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:55 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:56 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:57 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:58 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:59 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:59 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:01:59 +0900] "POST /jwbook/userControl HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:00 +0900] "GET /jwbook/miniProject/index.jsp HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/miniProject/GameView.jsp HTTP/1.1" 200 4709
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:01 +0900] "GET /jwbook/images/scissors.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:02 +0900] "GET /jwbook/images/rock.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:02 +0900] "GET /jwbook/images/paper.png HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [29/May/2024:09:02:02 +0900] "POST /jwbook/userControl HTTP/1.1" 200 2097
